antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'cottonwood'}),frozenset({'austrian pine'}),0.2,0.4,0.2,1.0,2.5,1.0,0.12,inf,0.7499999999999998,0.49999999999999994,1.0,0.75
frozenset({'austrian pine'}),frozenset({'deodar cedar'}),0.4,0.6,0.4,1.0,1.6666666666666667,1.0,0.16000000000000003,inf,0.6666666666666669,0.6666666666666667,1.0,0.8333333333333334
frozenset({'london plane'}),frozenset({'austrian pine'}),0.2,0.4,0.2,1.0,2.5,1.0,0.12,inf,0.7499999999999998,0.49999999999999994,1.0,0.75
frozenset({'austrian pine'}),frozenset({'texas red oak'}),0.4,0.6,0.4,1.0,1.6666666666666667,1.0,0.16000000000000003,inf,0.6666666666666669,0.6666666666666667,1.0,0.8333333333333334
frozenset({'cottonwood'}),frozenset({'bur oak'}),0.2,0.4,0.2,1.0,2.5,1.0,0.12,inf,0.7499999999999998,0.49999999999999994,1.0,0.75
frozenset({'bur oak'}),frozenset({'crabapple'}),0.4,0.8,0.4,1.0,1.25,1.0,0.07999999999999996,inf,0.3333333333333332,0.49999999999999994,1.0,0.75
frozenset({'bur oak'}),frozenset({'deodar cedar'}),0.4,0.6,0.4,1.0,1.6666666666666667,1.0,0.16000000000000003,inf,0.6666666666666669,0.6666666666666667,1.0,0.8333333333333334
frozenset({'bur oak'}),frozenset({'texas red oak'}),0.4,0.6,0.4,1.0,1.6666666666666667,1.0,0.16000000000000003,inf,0.6666666666666669,0.6666666666666667,1.0,0.8333333333333334
frozenset({'cottonwood'}),frozenset({'crabapple'}),0.2,0.8,0.2,1.0,1.25,1.0,0.03999999999999998,inf,0.24999999999999983,0.25,1.0,0.625
frozenset({'cottonwood'}),frozenset({'deodar cedar'}),0.2,0.6,0.2,1.0,1.6666666666666667,1.0,0.08000000000000002,inf,0.5,0.3333333333333333,1.0,0.6666666666666667
frozenset({'cottonwood'}),frozenset({'siberian elm'}),0.2,0.4,0.2,1.0,2.5,1.0,0.12,inf,0.7499999999999998,0.49999999999999994,1.0,0.75
frozenset({'cottonwood'}),frozenset({'texas red oak'}),0.2,0.6,0.2,1.0,1.6666666666666667,1.0,0.08000000000000002,inf,0.5,0.3333333333333333,1.0,0.6666666666666667
frozenset({'desert willow'}),frozenset({'crabapple'}),0.4,0.8,0.4,1.0,1.25,1.0,0.07999999999999996,inf,0.3333333333333332,0.49999999999999994,1.0,0.75
frozenset({'siberian elm'}),frozenset({'crabapple'}),0.4,0.8,0.4,1.0,1.25,1.0,0.07999999999999996,inf,0.3333333333333332,0.49999999999999994,1.0,0.75
frozenset({'london plane'}),frozenset({'deodar cedar'}),0.2,0.6,0.2,1.0,1.6666666666666667,1.0,0.08000000000000002,inf,0.5,0.3333333333333333,1.0,0.6666666666666667
frozenset({'deodar cedar'}),frozenset({'texas red oak'}),0.6,0.6,0.6,1.0,1.6666666666666667,1.0,0.24,inf,1.0,1.0,1.0,1.0
frozenset({'texas red oak'}),frozenset({'deodar cedar'}),0.6,0.6,0.6,1.0,1.6666666666666667,1.0,0.24,inf,1.0,1.0,1.0,1.0
frozenset({'london plane'}),frozenset({'texas red oak'}),0.2,0.6,0.2,1.0,1.6666666666666667,1.0,0.08000000000000002,inf,0.5,0.3333333333333333,1.0,0.6666666666666667
"frozenset({'austrian pine', 'bur oak'})",frozenset({'cottonwood'}),0.2,0.2,0.2,1.0,5.0,1.0,0.16,inf,0.9999999999999998,1.0,1.0,1.0
"frozenset({'austrian pine', 'cottonwood'})",frozenset({'bur oak'}),0.2,0.4,0.2,1.0,2.5,1.0,0.12,inf,0.7499999999999998,0.49999999999999994,1.0,0.75
"frozenset({'bur oak', 'cottonwood'})",frozenset({'austrian pine'}),0.2,0.4,0.2,1.0,2.5,1.0,0.12,inf,0.7499999999999998,0.49999999999999994,1.0,0.75
frozenset({'cottonwood'}),"frozenset({'austrian pine', 'bur oak'})",0.2,0.2,0.2,1.0,5.0,1.0,0.16,inf,0.9999999999999998,1.0,1.0,1.0
"frozenset({'austrian pine', 'crabapple'})",frozenset({'bur oak'}),0.2,0.4,0.2,1.0,2.5,1.0,0.12,inf,0.7499999999999998,0.49999999999999994,1.0,0.75
"frozenset({'austrian pine', 'bur oak'})",frozenset({'crabapple'}),0.2,0.8,0.2,1.0,1.25,1.0,0.03999999999999998,inf,0.24999999999999983,0.25,1.0,0.625
